key	password.reminder.email.subject	password.reminder.pre.header	password.reminder.copy.welcome	password.reminder.copy.line1	password.reminder.copy.line2	password.reminder.copy.line3	password.reminder.copy.button.cta	password.reminder.copy.sign.off	password.reminder.copy.brand	password.reminder.sent.to	password.reminder.company.info	password.reminder.footer.copy1	password.reminder.footer.copy2
nl_BE	Je {0}-wachtwoord wijzigen		Beste reiziger,	Je hebt aangegeven dat je een wachtwoord wilt aanmaken.	Klik op de volgende link om in te loggen op onze website en een nieuw wachtwoord aan te maken.	Deze link is 7 dagen geldig.	WACHTWOORD AANMAKEN	Prettige reis,	Jouw {0} Team	Deze e-mail werd verzonden aan	Secret Escapes Ltd is een onder nummer 07026107 in Engeland en Wales geregistreerde onderneming. Hoofdkantoor: <a href="#" style="color:#ffffff; text-decoration:none;">12‌0 Holborn, Lon‌den, EC‌N 2‌TD, Ver‌enigd Koni‌nkrijk</a>	Door op de links in deze e-mail te klikken word je ingelogd bij {0}. Wil je vrienden vertellen over deze aanbiedingen? Gebruik dan de ‘Deel met vrienden’-link boven aan onze website.	För att komma i kontakt med oss, vänligen mejla oss på <a href="MailTo:{0}" style="color:#ff8c00; text-decoration:none;">{0}</a> eller ring oss på {1}.
cs_CZ	Změnit Vaše {0} heslo		Dobrý den,	Vaše žádost o změnu hesla byla přijata	Pro zalogování a nastavení nového hesla klikněte na toto tlačítko	Platnost tohoto linku vyprší za 7 dní	ZMĚNA HESLA	S pozdravem	Tým {0}				
de_DE	{0} — Erstellen Sie Ihr Passwort		Guten Tag,	wir haben eine Anfrage zum Erstellen Ihres Passworts erhalten.	Klicken Sie dazu einfach auf den folgenden Link, um sich auf unserer Website einzuloggen und geben Sie ein neues Passwort ein.	Dieser Link ist nur 7 Tage gültig.	PASSWORT ERSTELLEN	Gute Reise	Ihr {0} Team	Diese E-Mail wurde versandt an	Secret Esca‌pes Ltd. ist ein Unterne‌hmen, das in Eng‌land & Wal‌es unter der Nummer 07‌0‌261‌‌07 und der Adresse <a href="#" style="color:#ffffff; text-decoration:none;">12‌0 Holb‌‌orn, Lon‌‌don, EC‌‌1N ‌2T‌D, Verei‌ni‌gtes Kön‌i‌greich</a> regis‌triert i‌st	Wenn Sie diese E-Mail anklicken, werden Sie bei {0} eingeloggt. Möchten Sie Ihren Freunden eines unserer Angebote empfehlen? Dann nutzen Sie einfach einen unserer Social Media-Buttons auf unserer Website.	Um uns zu kontaktieren, senden Sie uns bitte eine E-Mail an <a href="MailTo:{0}" style="color:#ff8c00; text-decoration:none;">{0}</a> oder rufen Sie uns unter {1} an.
da_DK	Nulstil din adgangskode til {0}		Hej	Ønsker du at nulstille din adgangskode?	Intet problem – du skal blot følge nedenstående link for at logge på vores hjemmeside og angive din nye adgangskode.	Dette link udløber om syv dage.	ÆNDR ADGANGSKODE	Med venlig hilsen	{0}-teamet	Denne e-mail blev sendt til	Secret Escapes Ltd. er registreret i England og Wales under nummeret 07‌026‌07 og adressen <a href="#" style="color:#ffffff; text-decoration:none;">12‌0 Holborn, London, EC‌1N 2T‌D, Storbritannien</a>.	Ved at klikke på denne e-mail bliver du logget på {0}. Ønsker du at fortælle dine venner om vores tilbud, kan du bruge dele-knappen på vores side.	Hvis du har brug for at komme i kontakt med os, kan du sende os en e-mail på <a href="MailTo:{0}" style="color:#ff8c00; text-decoration:none;">{0}</a> eller ringe til os på {1}.
es_ES	Cambia tu contraseña de {0}		Hola, 	Has solicitado cambiar tu contraseña.	No te preocupes, tan solo utiliza el siguiente botón para iniciar sesión en nuestra página y restablece tu contraseña.	Este enlace caducará en 7 días.	CAMBIAR CONTRASEÑA	Buen viaje,	El equipo de {0}	Este email ha sido enviado a	Secret Escapes Ltd es una compañía registrada en Inglaterra y Gales bajo el número 07026107, oficina registrada en <a href="#" style="color:#ffffff; text-decoration:none;">12‌0 Holborn, Londres, EC1‌N 2T‌D, Reino Unido</a>.	Haciendo clic en este email, accederás directamente a {0}. Si quieres que tus amigos descubran nuestras ofertas, la mejor forma de hacerlo es a través de las opciones de compartir que encontrarás en nuestra página web.	Si necesitas ponerte en contacto con nosotros, puedes escribirnos a <a href="MailTo:{0}" style="color:#ff8c00; text-decoration:none;">{0}</a> o llamarnos al {1}
fr_FR	Réinitialisation de votre mot de passe {0}		Bonjour, 	Vous avez fait une demande de réinitialisation de votre mot de passe.	Veuillez cliquer sur le lien ci-dessous pour vous connecter à notre site et créer votre nouveau mot de passe.	Ce lien expirera dans 7 jours.	CRÉER VOTRE MOT DE PASSE	Merci,	L’équipe {0}	Cet email a été envoyé à	Evasions Secrètes est une société par action simplifiée dont le siège social se situe au <a href="#" style="color:#ffffff; text-decoration:none;">153 bd Haussman, 75008 Paris, immatriculée au RCS de Paris sous le numéro 818 503 476</a>.	Cliquer sur cet email vous connectera directement à {0}. Si vous voulez partager les offres avec vos amis, il vaut mieux que vous utilisiez les boutons de partage directement sur le site.	Si vous avez besoin de nous contacter, envoyez-nous un email à <a href="MailTo:{0}" style="color:#ff8c00; text-decoration:none;">{0}</a> ou contactez nous au {1}.
hu_HU	{0} jelszó megváltoztatása		Üdvözlünk!	Jelszavad törlését kérted.	Semmi gond, az alábbi gomb segítségével jelentkezz be a honlapra és állíts be új jelszót.	Ez a link 7 napig érvényes.	JELSZÓ MEGVÁLTOZTATÁSA	Minden jót kívánunk.	A {0} csapata				
it_IT	Resetta la tua password {0}		Ciao,	Ci hai chiesto di resettare la tua password.	Nessun problema: clicca su questo bottone per accedere al nostro sito e creare la tua nuova password.	Questo link scadrà tra sette giorni.	CAMBIA PASSWORD	Buon viaggio,	Il team di {0}	Questa email è stata inviata a	Secret Escapes Limited è una società registrata in Inghilterra e Galles (no. 07026107), con sede legale in <a href="#" style="color:#ffffff; text-decoration:none;">120 Holborn, Londra EC1N 2TD, P. IVA GB103138366</a>.	Cliccando su questa email, accederai a {0}. Se vuoi far scoprire le nostre offerte ai tuoi amici, il miglior modo per farlo è tramite le opzioni di condivisione che trovi sul sito.	Se hai bisogno di contattarci, puoi scriverci a <a href="MailTo:{0}" style="color:#ff8c00; text-decoration:none;">{0}</a> o chiamarci allo {1}
nl_NL	Je {0}-wachtwoord wijzigen		Beste reiziger,	Je hebt aangegeven dat je je wachtwoord wilt wijzigen.	Klik op de volgende link om in te loggen op onze website en je wachtwoord te wijzigen.	Deze link is 7 dagen geldig.	WACHTWOORD WIJZIGEN	Prettige reis,	Jouw {0} Team	Deze e-mail werd verzonden aan	Secret Escapes Ltd is een onder nummer 07026107 in Engeland en Wales geregistreerde onderneming. Hoofdkantoor: <a href="#" style="color:#ffffff; text-decoration:none;">12‌0 Holborn, Lon‌den, EC‌N 2‌TD, Ver‌enigd Koni‌nkrijk</a>.	Door op de links in deze e-mail te klikken word je ingelogd bij {0}. Wil je vrienden vertellen over deze aanbiedingen? Gebruik dan de ‘Deel met vrienden’-link boven aan onze website.	Wil je direct contact, stuur dan een e-mail aan <a href="MailTo:{0}" style="color:#ff8c00; text-decoration:none;">{0}</a> of bel ons op dit nummer: {1}.
no_NO	Tilbakestill ditt {0} passord		Hei,	Vil du tilbakestille passordet?	Ingen problem – bare trykk på knappen nedenfor for å logge inn og skap et nytt passord.	Denne linken utgår om 7 dager.	ENDRE PASSORD	Med vennlig hilsen,	{0} teamet	Denne e-posten ble sendt til	Secret Escapes Ltd. er et selskap registrert i England & Wales under nummer 07026107, registrert kontor er <a href="#" style="color:#ffffff; text-decoration:none;">120 Holborn, London, EC1N 2TD, Storbritannia</a>.	Ved å klikke på denne e-posten blir du logget på {0}. For å fortelle dine venner om tilbudene våre er det best å bruke dele-knappene på hjemmesiden.	For å komme i kontakt med oss, send oss en epost på <a href="MailTo:{0}" style="color:#ff8c00; text-decoration:none;">{0}</a> eller ring oss på {1}.
sv	Återställ ditt {0} lösenord		Hej,	Vill du återställa ditt lösenord?	Inga problem - tryck bara på knappen här nedan för att logga in på din användare och skapa ett nytt lösenord.	Den här länken utgår om 7 dagar.	ÄNDRA LÖSENORD	Vänliga hälsningar,	The {0} Team	Detta mejl skickades till	Secret Escapes Ltd. är ett bolag registrerat i England & Wales med organisationsnummer 07026107. Sätesadressen är <a href="#" style="color:#ffffff; text-decoration:none;">Floor 4, 120 Holborn, London, EC1N 2TD, Storbritannien</a>.	Genom att klicka på detta mejl loggas du in på {0}. För att berätta för vänner om erbjudandet är det bäst att använda dela-knappen på sajten.	För att komma i kontakt med oss, vänligen mejla oss på <a href="MailTo:{0}" style="color:#ff8c00; text-decoration:none;">{0}</a> eller ring oss på {1}.
sk_SK	Zmena vášho {0} hesla		Dobrý deň,	Vaša žiadosť o zmenu hesla bola prijatá.	Pre prihlásenie a nastavenie nového hesla kliknite na toto tlačidlo	Platnosť toho linku vyprší za 7 dní	ZMENA HESLA	S pozdravom	Tím {0}				
en_GB	Reset your {0} password	You have requested to reset your password. No problem, just use this email to log in to our site and set your new password.	Hi there,	You have requested to reset your password.	No problem, just use the following button to log in to our site and set your new password.	This link will expire in 7 days.	CHANGE PASSWORD	Best wishes,	The {0} Team	This email was sent to	Secret Esc‌apes Ltd. is a co‌mpany registered in Eng‌land & Wales un‌der num‌ber 07‌0261‌07, regis‌tered of‌fice <a href="#" style="color:#ffffff; text-decoration:none;">1‌20 Holb‌orn, Lo‌ndon, EC‌1N 2‌TD, United Kingdom</a>.	Clicking on this email logs you into {0}. To tell friends about the sales it's best to use the share buttons on the site.	To get in contact, please email us at <a href="MailTo:{0}" style="color:#ff8c00; text-decoration:none;">{0}</a> or give us a call on {1}.
en_US	Reset your {0} password		Hi there,	You have requested to reset your password.	No problem – just use the following button to log in to our site and set your new password.	This link will expire in 7 days.	CHANGE PASSWORD	Best wishes,	The {0} Team	This email was sent to	Secret Escapes is owned and operated by Secret Escapes Ltd, a company registered in England & Wales under number 07‌026‌07, registered office <a href="#" style="color:#ffffff; text-decoration:none;">12‌0 Holorn, London, E‌1N 2T‌D, UK</a>. Secret Escapes Ltd is registered with the State of Florida as a Seller of Travel. Registration No. ST‌39‌499. CST 2‌118‌424-5‌0. Registration as a seller of travel in California does not constitute approval by the State of California. Secret Escapes Ltd is not a participant in the California Travel Consumer Restitution Fund. Purchase is required for travel.	Clicking on this email logs you into {0}. To tell friends about the sales it's best to use the share buttons on the site.	To get in contact, please email us at <a href="MailTo:{0}" style="color:#ff8c00; text-decoration:none;">{0}</a> or give us a call on {1}.
de_AT	{0} — Erstellen Sie Ihr Passwort		Guten Tag,	wir haben eine Anfrage zum Erstellen Ihres Passworts erhalten.	Klicken Sie dazu einfach auf den folgenden Link, um sich auf unserer Website einzuloggen und geben Sie ein neues Passwort ein.	Dieser Link ist nur 7 Tage gültig.	PASSWORT ERSTELLEN	Gute Reise	Ihr {0} Team	Diese E-Mail wurde versandt an	Secret Esca‌pes Ltd. ist ein Unterne‌hmen, das in Eng‌land & Wal‌es unter der Nummer 07‌0‌261‌‌07 und der Adresse <a href="#" style="color:#ffffff; text-decoration:none;">12‌0 Holb‌‌orn, Lon‌‌don, EC‌‌1N ‌2T‌D, Verei‌ni‌gtes Kön‌i‌greich</a> regis‌triert i‌st	Wenn Sie diese E-Mail anklicken, werden Sie bei {0} eingeloggt. Möchten Sie Ihren Freunden eines unserer Angebote empfehlen? Dann nutzen Sie einfach einen unserer Social Media-Buttons auf unserer Website.	Um uns zu kontaktieren, senden Sie uns bitte eine E-Mail an <a href="MailTo:{0}" style="color:#ff8c00; text-decoration:none;">{0}</a> oder rufen Sie uns unter {1} an.